"subject","predicate","object"
"https://w3id.org/winecatalogue#Bullas","https://w3id.org/winecatalogue#wineProduced","17623"
"https://w3id.org/winecatalogue#Alicante","http://dbpedia.org/ontology/wikiPageID","11882604"
"https://w3id.org/winecatalogue#Tacoronte_Acentejo","http://dbpedia.org/ontology/wikiPageID","14227564"
"https://w3id.org/winecatalogue#Alella","http://www.w3.org/2003/01/geo/wgs84_pos#long","2.29583"
"https://w3id.org/winecatalogue#Valle_de_la_Orotava","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/resource/Category:WineRegion"
"https://w3id.org/winecatalogue#Terra_Alta","http://dbpedia.org/property/year","1972"
"https://w3id.org/winecatalogue#Almansa","http://dbpedia.org/ontology/wikiPageID","11466715"
"https://w3id.org/winecatalogue#Priorat","http://dbpedia.org/property/officialName","Denominació d'Origen Qualificada Priorat / Denominació d'Origen Protegida Priorat"
"https://w3id.org/winecatalogue#La_Palma","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/resource/Category:WineRegion"
"https://w3id.org/winecatalogue#Montsant","https://w3id.org/winecatalogue#id","http://dbpedia.org/resource/Montsant_DO"
"https://w3id.org/winecatalogue#Arabako_Txakolina_Txakolí_de_Álava_Chacolí_de_Álava","http://dbpedia.org/ontology/wikiPageID","19386696"
"https://w3id.org/winecatalogue#Getariako_Txakolina_Txakoli_de_Getaria__Chacolí_de_Getaria","https://w3id.org/winecatalogue#id","http://dbpedia.org/resource/Getariako_Txakolina"
"https://w3id.org/winecatalogue#Terra_Alta","http://www.w3.org/2003/01/geo/wgs84_pos#long","0.433333"
"https://w3id.org/winecatalogue#Abona","https://w3id.org/winecatalogue#hasName","Abona DOP"
"https://w3id.org/winecatalogue#Tierra_del_Vino_de_Zamora","http://dbpedia.org/ontology/wikiPageID","19357370"
"https://w3id.org/winecatalogue#La_Mancha","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/resource/Category:WineRegion"
"https://w3id.org/winecatalogue#Montilla___Moriles","http://www.w3.org/2003/01/geo/wgs84_pos#lat","37.5854"
"https://w3id.org/winecatalogue#Manzanilla_Sanlúcar_de_Barrameda","https://w3id.org/winecatalogue#wineProduced","384350"
"https://w3id.org/winecatalogue#Montilla___Moriles","http://dbpedia.org/property/officialName","D.O.P Montilla - Moriles"
"https://w3id.org/winecatalogue#Pla_i_Llevant","http://dbpedia.org/property/officialName","D.O.P. Pla i Llevant"
"https://w3id.org/winecatalogue#Montsant","http://dbpedia.org/ontology/wikiPageID","28995914"
"https://w3id.org/winecatalogue#Somontano","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/resource/Category:WineRegion"
"https://w3id.org/winecatalogue#Campo_de_Borja","http://dbpedia.org/property/officialName","D.O.P Campo de Borja"
"https://w3id.org/winecatalogue#Arlanza","http://www.w3.org/2003/01/geo/wgs84_pos#lat","42.0264"
"https://w3id.org/winecatalogue#La_Gomera","https://w3id.org/winecatalogue#id","http://dbpedia.org/resource/La_Gomera_(DO)"
"https://w3id.org/winecatalogue#Condado_de_Huelva","http://dbpedia.org/property/year","1963"
"https://w3id.org/winecatalogue#Empordà","http://dbpedia.org/property/year","1972"
"https://w3id.org/winecatalogue#Ribera_del_Júcar","http://www.w3.org/2003/01/geo/wgs84_pos#long","-2.2"
"https://w3id.org/winecatalogue#Lanzarote","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/resource/Category:WineRegion"
"https://w3id.org/winecatalogue#Condado_de_Huelva","http://dbpedia.org/ontology/wikiPageID","11003208"
"https://w3id.org/winecatalogue#Bullas","http://dbpedia.org/ontology/wikiPageID","12083567"
"https://w3id.org/winecatalogue#Granada","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/resource/Category:WineRegion"
"https://w3id.org/winecatalogue#Montilla___Moriles","https://w3id.org/winecatalogue#id","http://dbpedia.org/resource/Montilla-Moriles"
"https://w3id.org/winecatalogue#Arlanza","https://w3id.org/winecatalogue#hasName","Arlanza DOP"
"https://w3id.org/winecatalogue#Costers_del_Segre","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/resource/Category:WineRegion"
"https://w3id.org/winecatalogue#Arribes","https://w3id.org/winecatalogue#hasName","Arribes DOP"
"https://w3id.org/winecatalogue#Ribeiro","http://dbpedia.org/ontology/wikiPageID","12051338"
